Id,Mus CPRCMUS No,Tattoo,CS_Tattoo,Sex,Coronal suture,Sagittal suture,Lamboidal suture,Humeral Head,Distal Humerus,Humerus Lateral Epicondyle,Humerus Medial Epicondyle,Proximal Radius,Distal Radius,Proximal Ulna,Distal Ulna,Femoral Head,Distal Femur,Proximal Tibia,Distal Tibia,Zy-Zy,Ba-Br,Eu-Eu,Gl-Op,Go-Co,Go-Go,Po-Go,Al-MxF suture midline,HL,HPML,HPAP,HDML,HDAP,RL,RPML,RPAP,RDML,RDAP,UL,FL,FHL,FHSI,FPAP,FPML,FDML,FDAP,TL,TPML,TPAP,TDML,TDAP,IICrest,Pel_height,HDia,RDia,UDia,FDia,TDia,Pterion_Right,Pterion_Left,BMD_Hum,BMD_Fem,MCode,Pedigree,EAAD
36,"CPRCMUS-01202","B39","B39","M",3,2,3,1,3,3,2,1,1,"1","1",1,1,1,1,76.58,"52.58","62.45","79.85","32.61",44.28,65.77,46.42,"136.26","16.64","17.38","27.7","16.3","134.02","12.12","12.46","14.54","12.59","149.95","164.93",,"15.82","15.91","12.66","27.37","21.6","153.77","26.42","20.45","18.08","15.1",,"132.56","32","23","27","36","33","TF","TF","4023","4124","Q1029","06 Tier",4.02
37,"CPRCMUS-01204","F47","F47","M",3,3,3,1,3,3,2,2,2,"1","1",1,2,1,1,80.04,"57.28","65.02","87.6","32.54",42.28,63.54,43.31,"132.65","15.26","16.41",,,"131.37","11.35","12.64","14.1","11.29","147.2","159.43",,"15.7","15.59","11.8","26.82","21.3","151.18","25.34","19.16","16.39","14.19",,"131.57","32","23","23","37","34","TF","TF","4072","4142","Q1029","06 Tier",3.48
38,"CPRCMUS-01205","571","571","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,84.27,"56.75","61.84","87.54","37.55",47.77,77.25,55.54,"140.99","14.98","18.35","28.12","16.57","139.06","11.23","12.42","14.43","13.39","155.76","168.31","165.03","15.39","15.74","13.08","27.68","22.27","153.62","28.12","20.29","17.12","13.85",,"150.16","38","30","27","43","39",,,"4277","4352","Q1029","03 Tier",11.88
39,"CPRCMUS-01206","F54X","F54X","M",3,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,74.47,"56.84","62.14","88.8","28.85",44.32,65.57,44.51,"131.86","15.6","17.36",,,"136.96","12.41","12.87","15.29","12.32","154.3","164.95",,"14.8","15.37","12.75","27.82","21.16","157.09","26.86","19.48","18.23","14.96",,"131.25","34","26","27","37","36","SP","SP","4058","4076","Q1029","04 Tier",3.25
40,"CPRCMUS-01237","900","900","M",3,3,3,2,3,3,3,3,2,"3","1",3,3,3,3,93.71,"56.04","64.44","85.64","34.44",49.41,80.94,62.28,"160.53","17.27","20.07","31.97","17.52","158.49","13.84","12.5","16.28","14.04",,"201.8","197.58","16.81","17.14","13.54","30.49","24.42","176.42","30.45","23.21","18.25","16.07",,"161.94",,"44","32","30","46",,,"4037","4110","Q1056","03 Tier",6.31
41,"CPRCMUS-01343","B05?","B05","M",3,3,3,1,3,3,3,3,1,"2","1",2,1,2,2,89.93,"60.75","65.91","95.54","40.3",50.08,77.64,54.66,"162.39","17.26","19.73","32.74","20.19",,"13.38","12.78",,,,"205.02","199.17","18.56","18.17","15.2","31.1","25.42","187.34","30.23","23.94","19.27","17.11",,"162.43","39","29","31","48","43","TF","TF","4240","4194","Q1029","04 Tier",4.97
42,"CPRCMUS-01346","YL? (was UNK-249)","YL","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,,"55.08",,"81.22","31.02",47.12,69.49,46.18,"142.39","15.17","16.97","26.55","16.8","139.77","11.1","12.37","13.85","11.67","156.23","170.4","165.22","15.09","15.17","12.3","27.19","21.81","157.59","28.47","23.33","16.6","16.09",,"139.17","37","41","26","43","37",,"TF","4323","3764","Prob wt ID","""03 Tier (prob wt ID",
43,"CPRCMUS-01522","OT","OT","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,86.32,,"61.99","82.99",,,,,"141.03","15.53","17.02","25.44","17.03","130.63","10.53","11.77","14.86","12.63","148.19","169.19",,,,,"27.69","21.23","151.16","28.42","21.46","17.76","13.72",,"149.52","38","28","28","40","35","SP","SP","4270","4130","Q1053","03 Tier",22.14
44,"CPRCMUS-01550","D01","D01","M",3,3,3,2,3,3,3,3,1,"3","1",3,2,2,3,90.80,"56.35","64.48","89.19","40.45",48.86,80.08,57.04,"160.34","17.75","20.75","32.51","19.54","157.43","12.52","13.78","16.73","13.72","177.57","197.87","193.29","16.46","16.65","13.54","31.3","24.38","179.16","31.11","23.38","19.42","16.87",,"157.78","41","32","31","46","46","TF","TF","4551","4135","Q1029","05 Tier",6.58
45,"CPRCMUS-01579","996","996","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,97.33,"56.54","65.77","87.06","39.11",50.98,79.10,57.65,"155.86","17.3","19.86","30.53","18.07","152.3","12.75","13.78","16.86","14.49","171.99","194.05","188.15","16.86","17.13","13.35","32.1","25.23","173.48","30.5","23.54","20.62","17",,"158.54","45","31","32","47","43","TF","TF","4563","4152","Q1056","03 Tier",7.94
46,"CPRCMUS-01584","735","735","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,97.44,"57.65","67.69","94.95","39.13",53.15,84.47,65.47,"153.79","18.89","19.82","33.53","18.99","152.72","13.12","14.36","18.19","14.89","172.31","185.88","180.91","17.64","17.65","15.41","32.86","23.43","171.32","30.38","23.43","20.35","16.09","100.32","162.93","43","31","30","43","41",,,"4312","4349","Q1029","04 Tier",11.16
47,"CPRCMUS-01586","776","776","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,95.04,"61.46","66.17","91.42","43.7",43.81,84.21,61.40,"164.21","19.07","20.64","31.92","20.18","165.06","12.5","13.74","18.15","15.34","186.04","199.97","196.85","18.1","18.11","15.5","31.8","27.04","184.35","34.04","27.97","19.7","16.33","97.23","166.89","42","32","33","46","41","SP","SP","4518","4325","Q1029","04 Tier",11.78
48,"CPRCMUS-01606","F62","F62","F",3,3,3,1,3,3,3,2,1,"3","1",2,1,1,2,73.92,"50.91","61.54","80.34","29.43",40.38,61.97,41.75,"118.46","14.24","15.42","22.63","13.64","120.26","9.66","10.71","13.19","10.46","137.18","145.88","143.62","13.45","13.72","11.12","24.42","18.37","136.31","23.27","18.02","17.08","13.22",,"118.99","26","20","20","30","29","TF","TF","3850","3950","Q1094","03 Tier",4.88
49,"CPRCMUS-01610","F42/409","F42","F",2,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,60.45,"52.14","59.46","73.94","25.31",36.38,48.70,,"100.6","10.77","12.23",,,"100.38","8.39","9.22","11.05","8.89","115.12","118.46",,"12.6","12.1","9.69","20.13","14.31","114.98","19.64","14.17","13.5","11.77",,,"25","20","18","31","28","TF","TF",,"3822","Q1029","05 Tier",2.11
50,"CPRCMUS-01614","F58","F58","M",3,3,3,1,3,3,3,3,1,"2","1",3,1,1,1,87.19,"57.9","65.88","91.07","39.12",50.40,77.58,55.18,"152.86","14.59","19.47","27.94","17.62","153.49","12.16","12.81","15.99","13.71","174.56","192.8","188.23","16.44","17.13","12.73","29.45","24.07","176.43","29.17","22.69","18.75","15.54",,"152.13","40","30","28","44","41","TF","TF","4072","4091","Q1029","04 Tier",5.15
52,"CPRCMUS-01650","D65","D65","M",3,3,3,1,3,3,3,3,1,"3","1",3,1,2,1,89.74,"57.07","63.27","85.91","36.4",47.16,76.80,58.77,"154.45","17.28","18.28","31.18","18.4","151.99","15.64","13.69","15.54","13.67",,"189.37","182.99","16.02","16.68","13.01","30.34","23.32","170.82","28.95","22.5","18.79","15.51",,"156.67","38","28","28","40","40","TF","SP","4202","4156","Q1053","04 Tier",4.97
53,"CPRCMUS-01778","751","751","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,80.04,,"62.53","83.67","34.15",44.82,67.27,46.79,"132.36","14.64","16.16","23.18","13.96","125.86","9.8","10.54","13.3","11.75","141.22","157.27","155","13.63","13.96","12.02","25.06","17.68","144.97","24.65","17.84","16.24","13.41",,"140.75","33","23","22","34","33",,,,,"Q1053","05 Tier",10.76
54,"CPRCMUS-01929","E75","E75","F",3,3,3,2,3,3,3,3,2,"3","2",3,3,3,3,80.30,"52.48","61.34","83.89","34.53",52.47,69.52,46.58,"144.98","16.46","17.37","27.76","15.78","144.5","11.08","12.69","14.25","12.52","164.31","174.65","172.5","15.28","15.79","12.66","27.59","21.97","161.74","27.54","21.76","17.66","14.67",,"148.17","37","27","23","41","36","TF","TF","4180","4223","Q1053","04 Tier",7.21
57,"CPRCMUS-01949","F61","F61","M",3,3,3,1,3,3,3,3,1,"3","1",3,1,2,3,90.21,"56.91","65.26","91.75","36.89",48.82,79.34,57.83,"158.82","18.4","19.57","32.81","18.95","162.57","13.01","15.21","16.77","13.56","183.97","198.09","191.07","17.11","17.51","13.73","30.8","24.8","182.64","29.74","23.52","19.03","16.84",,"162.24","44","33","32","50","45","TF","TF","4045","4022","Q1029","04 Tier",5.25
58,"CPRCMUS-01953","B83","E83","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,94.28,"57.04","65.22","88.65","32.63",51.52,81.85,55.80,"151.26","16.32","19.63","30.53","17.66","152.38","11.86","13.49","16.83","13.72","171.67","182.64","179.17","16.53","16.67","12.59","30.26","24.3","169.38","30.15","22.12","18.68","15.81",,"155.33","43","31","30","43","41","TF","TF","4264","4249","Q1053","06 Tier",8.62
61,"CPRCMUS-02132","F59","F59","F",3,3,3,1,2,2,2,3,1,"3","1",3,1,1,2,78.23,"54.16","62.56","83.58","33",43.27,64.95,47.77,"132.62","15.66","15.68","26.36","15.49","134.56","10.55","11.77","13.88","11.52","152.13","163.13","160.49","14.47","14.97","12.15","26.74","19.34","153.5","26.31","18.88","16.6","13.94",,"133.06","31","25","24","36","33","X","X","4177","4041","Q1053","06 Tier",5.52
63,"CPRCMUS-02140","B17","B17","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,82.13,"53.7","62.75","83.11","32.49",43.22,70.14,52.70,"137.84","15.05","16.6","25.31","15.18","136.44","10.52","11.38","13.96","12.34","152.2","162.8","160.51","14.27","14.81","11.73","25.63","21.08","149.69","25.15","19.55","17.49","14.18",,"146.61","36","31","27","40","37","TF","TF","4142","4141","Q1053","05 Tier",9.29
64,"CPRCMUS-02150","993","993","M",3,3,3,1,3,3,2,1,1,"1","1",2,1,1,1,87.54,"54.75","63.88","88.41","35.75",51.76,75.32,53.41,"153.91","17.32","19.63","30.75","18.84",,,,"16.36","13.9",,"190.71","185.94","16.1","17.44","13.88","29.69","24.23","169.51","29.29","22.41","18.54","15.79",,"154.82","39","31","28","47","39","TF","TF","4071","3758","Q1029","05 Tier",5.67
66,"CPRCMUS-02186","M34","M34","M",3,2,2,1,3,3,2,1,1,"1","1",1,1,1,1,84.91,"54.75","66.32","84.03","34.65",46.08,69.09,45.81,"135.05","15.96","17.71","29.38","18.18","132.21","11.5","13.04","16.9","12.2","152.9","159.57",,"15.6","15.92","13.89","28.13","21.56","150.26","26.71","20.52","18.14","15.27",,"139.85","36","29","27","40","38","TF","TF","4599","4084","Q1029","05 Tier",4.22
67,"CPRCMUS-02208","473/832","832","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,80.84,"55.89","60.98","80.77","35.09",45.81,67.15,49.60,"137.16","15.74","16.79","25.08","15.1","134.95","11.01","12.16","14.4","12.08","151.28","169.34","164.43","14.48","14.67","12","27.38","20.62","151.8","27.34","21.36","17.24","15.63",,"138.37","33","27","24","45","35","TF","TF","4262","4182","Q1029","05 Tier",11.69
68,"CPRCMUS-02976","472","472","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,84.38,,"63.11","88.91","39.34",52.76,68.17,47.40,"138.83","15.44","17.28","26.56","16.74","135.3","11.02","12.27","14.29","12.56","150.04","160.84","159.37","15.8","15.93","13.13","27.64","22.67","147.89","31.22","23.43","17.76","14.03",,"145.97","36","26","28","40","38",,,"3960","4266","Q1094","01 Tier",19.78
72,"CPRCMUS-03040","522/443","522","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,82.44,,"63.92","88.48","41.9",44.51,67.72,52.84,"137.17","15.19","16.93","24.41","14.47","128.84","10.14","11.24","13.22","11.8","145.2","160.27","156.85","13.7","14.14","12.83","26.72","18.97","150.63","25.85","18.11","17.3","13.22",,"143.34","34","25","25","35","35","TF","TF","3899","4328","Q1053","04 Tier",17.85
